 Counter value is: 32 	Fri Dec 10 12:22:48 2021
 Counter value is: 31 	Fri Dec 10 12:22:49 2021
 Counter value is: 30 	Fri Dec 10 12:22:50 2021
 Counter value is: 29 	Fri Dec 10 12:22:51 2021
 Counter value is: 28 	Fri Dec 10 12:22:52 2021
 Counter value is: 27 	Fri Dec 10 12:22:53 2021
 Counter value is: 26 	Fri Dec 10 12:22:54 2021
 Counter value is: 25 	Fri Dec 10 12:22:55 2021
 Counter value is: 24 	Fri Dec 10 12:22:56 2021
 Counter value is: 23 	Fri Dec 10 12:22:57 2021
 Counter value is: 22 	Fri Dec 10 12:22:58 2021
 Counter value is: 21 	Fri Dec 10 12:22:59 2021
 Counter value is: 20 	Fri Dec 10 12:23:00 2021
 Counter value is: 19 	Fri Dec 10 12:23:01 2021
 Counter value is: 18 	Fri Dec 10 12:23:02 2021
 Counter value is: 17 	Fri Dec 10 12:23:03 2021
 Counter value is: 16 	Fri Dec 10 12:23:04 2021
 Counter value is: 15 	Fri Dec 10 12:23:05 2021
 Counter value is: 14 	Fri Dec 10 12:23:06 2021
 Counter value is: 13 	Fri Dec 10 12:23:07 2021
 Counter value is: 12 	Fri Dec 10 12:23:08 2021
 Counter value is: 11 	Fri Dec 10 12:23:09 2021
 Counter value is: 10 	Fri Dec 10 12:23:10 2021
 Counter value is: 9 	Fri Dec 10 12:23:11 2021
 Counter value is: 8 	Fri Dec 10 12:23:12 2021
 Counter value is: 7 	Fri Dec 10 12:23:13 2021
 Counter value is: 6 	Fri Dec 10 12:23:14 2021
 Counter value is: 5 	Fri Dec 10 12:23:15 2021
 Counter value is: 4 	Fri Dec 10 12:23:16 2021
 Counter value is: 3 	Fri Dec 10 12:23:17 2021
 Counter value is: 2 	Fri Dec 10 12:23:18 2021
 Counter value is: 1 	Fri Dec 10 12:23:19 2021
 Counter value is: 60 	Fri Dec 10 12:23:20 2021
 Counter value is: 59 	Fri Dec 10 12:23:21 2021
 Counter value is: 58 	Fri Dec 10 12:23:22 2021
 Counter value is: 57 	Fri Dec 10 12:23:23 2021
 Counter value is: 56 	Fri Dec 10 12:23:24 2021
 Counter value is: 55 	Fri Dec 10 12:23:25 2021
 Counter value is: 54 	Fri Dec 10 12:23:26 2021
 Counter value is: 53 	Fri Dec 10 12:23:27 2021
 Counter value is: 52 	Fri Dec 10 12:23:28 2021
 Counter value is: 51 	Fri Dec 10 12:23:29 2021
 Counter value is: 50 	Fri Dec 10 12:23:30 2021
 Counter value is: 49 	Fri Dec 10 12:23:31 2021
 Counter value is: 48 	Fri Dec 10 12:23:32 2021
 Counter value is: 47 	Fri Dec 10 12:23:33 2021
 Counter value is: 46 	Fri Dec 10 12:23:34 2021
 Counter value is: 45 	Fri Dec 10 12:23:35 2021
 Counter value is: 44 	Fri Dec 10 12:23:36 2021
 Counter value is: 43 	Fri Dec 10 12:23:37 2021
 Counter value is: 42 	Fri Dec 10 12:23:38 2021
 Counter value is: 41 	Fri Dec 10 12:23:39 2021
 Counter value is: 40 	Fri Dec 10 12:23:40 2021
 Counter value is: 39 	Fri Dec 10 12:23:41 2021
 Counter value is: 38 	Fri Dec 10 12:23:42 2021
 Counter value is: 37 	Fri Dec 10 12:23:43 2021
 Counter value is: 36 	Fri Dec 10 12:23:44 2021
 Counter value is: 35 	Fri Dec 10 12:23:45 2021
 Counter value is: 34 	Fri Dec 10 12:23:46 2021
 Counter value is: 33 	Fri Dec 10 12:23:47 2021
 Counter value is: 32 	Fri Dec 10 12:23:48 2021
 Counter value is: 31 	Fri Dec 10 12:23:49 2021
 Counter value is: 30 	Fri Dec 10 12:23:50 2021
 Counter value is: 29 	Fri Dec 10 12:23:51 2021
 Counter value is: 28 	Fri Dec 10 12:23:52 2021
 Counter value is: 27 	Fri Dec 10 12:23:53 2021
 Counter value is: 26 	Fri Dec 10 12:23:54 2021
 Counter value is: 25 	Fri Dec 10 12:23:55 2021
 Counter value is: 24 	Fri Dec 10 12:23:56 2021
 Counter value is: 23 	Fri Dec 10 12:23:57 2021
 Counter value is: 22 	Fri Dec 10 12:23:58 2021
 Counter value is: 21 	Fri Dec 10 12:23:59 2021
 Counter value is: 20 	Fri Dec 10 12:24:00 2021
 Counter value is: 19 	Fri Dec 10 12:24:01 2021
 Counter value is: 18 	Fri Dec 10 12:24:02 2021
 Counter value is: 17 	Fri Dec 10 12:24:03 2021
 Counter value is: 16 	Fri Dec 10 12:24:04 2021
 Counter value is: 15 	Fri Dec 10 12:24:05 2021
